timestamp,acc_x_g,acc_y_g,acc_z_g
17.69028663635254,-0.00734,0.01699,-1.0143
17.921688079833984,0.01477,-0.00187,-1.02156
18.09423041343689,-0.01473,0.00576,-1.01483
18.29637742042541,-0.00345,0.0002,-1.0158
18.50301432609558,-0.01675,0.02617,-1.01952
18.711386919021606,0.00589,-0.00027,-1.0097
18.91508173942566,-0.00959,0.01785,-1.0072
19.119423627853397,-0.01524,0.00349,-1.01741
19.32249689102173,0.00548,0.00316,-1.01485
19.51543951034546,0.01458,0.0366,-1.01849
19.739999532699585,0.01135,0.06592,-1.01587
19.92726802825928,0.00117,0.00272,-1.0168
20.14192914962769,-0.01043,0.00984,-1.01588
20.33890032768249,-0.00885,0.01214,-1.01644
20.54112315177917,-0.00699,0.01215,-1.01507
20.74881720542908,-0.00794,0.01166,-1.01643
20.955565452575684,0.21618,0.07941,-1.01945
21.159489393234253,0.13943,0.01191,-1.02024
21.351243257522583,-0.12267,-0.0135,-1.0081
21.556509017944336,-0.09758,-0.00616,-1.02484
21.760289669036865,0.06801,-0.02431,-1.0378
21.95290279388428,0.05978,-0.00344,-1.01809
22.16119766235352,-0.05291,0.02358,-1.04255
22.35209822654724,-0.18919,0.00948,-1.01225
22.57372522354126,-0.05185,0.00596,-1.03291
22.78170919418335,-0.01057,0.01236,-1.01564
22.97417950630188,-0.02488,0.00769,-1.01494
23.183045864105225,-0.00929,0.01139,-1.0155
23.38777089118957,-0.01158,0.01161,-1.01754
23.60204577445984,-0.00155,0.01224,-1.01771
23.802898168563843,0.02941,0.08086,-1.01649
23.998469591140747,0.00472,-0.01619,-1.01575
24.19238376617432,-0.00349,0.02137,-1.02561
24.39943528175354,-0.00173,-0.00366,-1.01378
24.60602617263794,0.00248,0.02721,-1.02109
24.79465246200561,0.00317,0.01521,-1.02061
25.0033495426178,0.00863,0.0107,-1.01983
25.198102235794067,-0.00296,0.01029,-1.01913
25.39890170097351,-0.01596,-0.00425,-1.01982
25.624515533447266,-0.00183,0.02429,-1.01225
25.823464155197144,0.00554,0.01983,-1.01452
26.019944190979004,0.0225,0.02258,-1.01164
26.22193741798401,0.00367,0.0141,-1.01136
26.422017574310303,-0.00135,0.01184,-1.01866
26.63536787033081,0.01304,0.01786,-1.01919
26.840632915496823,0.01361,0.04303,-1.00959
27.04247665405273,0.0013,0.00262,-1.0171
27.234983921051025,-0.00148,0.00544,-1.01774
27.432371854782104,0.00083,0.00615,-1.01636
27.648378133773804,-0.00076,0.00531,-1.01667
