Time (s),Distance (cm)
28.251515865325928,29.3
28.251515865325928,29.4
28.259045362472534,29.4
28.29903769493103,29.4
28.456175088882446,30.3
28.459038972854614,30.4
28.46004557609558,29.3
28.660709381103516,29.4
28.662174940109253,29.4
28.663379907608032,30.4
28.679503917694092,29.4
28.700828075408936,29.3
28.866690397262573,29.4
28.867690324783325,29.4
28.867690324783325,29.4
29.07301378250122,29.3
29.079007863998413,29.4
29.2756564617157,29.3
29.2756564617157,29.4
29.279261112213135,29.4
29.479963302612305,29.3
29.48097538948059,29.4
29.48097538948059,29.3
29.685718774795532,29.4
29.685718774795532,29.4
29.685718774795532,29.4
29.70470690727234,29.3
29.71870756149292,29.4
29.890446424484253,29.4
29.89144468307495,29.3
29.89144468307495,29.3
