Time (s),Distance (cm)
14.180331230163574,36.3
14.279547929763794,36.2
14.472009658813477,36.2
14.479351282119751,36.1
14.676525354385376,36.1
14.677798748016357,36.2
14.68052625656128,36.2
14.880447626113892,36.1
14.881450653076172,36.1
14.899804592132568,36.1
15.084810018539429,36.1
15.086115837097168,36.2
15.086115837097168,36.3
15.17821478843689,36.2
15.18066668510437,36.2
15.289862394332886,36.3
15.299917221069336,36.1
15.495363712310791,36.2
15.506620168685913,36.1
15.69992446899414,36.1
15.720998764038086,36.1
15.739113569259644,36.2
15.907025575637817,36.2
15.908003568649292,36.2
15.90926742553711,36.1
16.10966968536377,36.1
16.112043380737305,36.1
16.113291263580322,36.1
16.114291429519653,36.2
16.192126512527466,36.2
16.20004439353943,36.1
16.320058822631836,36.2
16.33937382698059,36.2
16.51881766319275,36.2
16.5198175907135,36.2
16.539782285690308,36.2
16.725308895111084,36.2
16.73940396308899,36.1
16.92976975440979,36.3
16.92976975440979,36.2
16.93977928161621,36.1
17.13607668876648,36.1
17.138221979141235,36.2
17.139299154281616,36.2
17.200032234191895,36.2
17.34064507484436,36.1
17.360124111175537,36.2
17.543575763702393,36.2
17.543575763702393,36.2
17.559741735458374,36.2
17.748283624649048,36.2
17.748283624649048,36.2
17.95283555984497,36.3
17.95405101776123,36.3
17.979216814041138,36.2
18.157777786254883,36.2
18.179306030273438,36.2
18.362093448638916,36.2
18.37953805923462,36.3
18.38054323196411,36.2
18.567242860794067,36.2
18.56825089454651,36.2
18.771063566207886,36.2
18.772063732147217,36.2
18.772063732147217,36.2
18.773062705993652,36.1
18.799386739730835,36.2
18.976853132247925,36.3
18.977962017059326,36.2
19.00001549720764,36.2
19.181554794311523,36.2
19.182556867599487,36.1
19.200559616088867,36.3
19.262606620788574,36.2
19.40018916130066,36.2
19.591164112091064,36.3
19.592146396636963,36.3
19.592146396636963,36.2
19.59902334213257,36.3
19.796350240707397,36.2
19.799799919128418,36.2
20.001998901367188,36.3
20.020292043685913,36.2
20.206175804138184,36.3
20.220101833343506,36.4
20.410624027252197,36.3
20.410624027252197,36.3
20.420225143432617,36.3
20.61730647087097,36.3
20.620911598205566,36.3
20.82042407989502,36.3
20.82042407989502,36.3
20.821483373641968,36.3
20.840707063674927,36.3
21.025470972061157,36.3
21.026744604110718,36.3
21.039814233779907,36.2
21.230578899383545,36.3
21.230578899383545,36.3
21.239577054977417,36.3
21.434584379196167,36.3
21.434584379196167,36.3
21.439321041107178,36.3
21.638725996017456,36.3
21.640541076660156,36.3
21.845046997070312,36.3
21.859899520874023,36.3
21.899776458740234,36.3
22.048869848251343,36.3
22.23815417289734,36.3
22.23909568786621,36.3
22.240261554718018,36.3
22.25987148284912,36.3
22.45849585533142,36.3
22.461877822875977,36.3
22.480311393737793,36.3
22.66315460205078,36.4
22.665802240371704,36.4
22.869943857192993,36.3
22.879312753677368,36.3
23.07290482521057,36.4
23.073904514312744,36.3
23.075615406036377,36.3
23.079674243927002,36.4
23.247207164764404,36.3
23.24866557121277,36.3
23.24866557121277,36.3
23.48252010345459,36.3
23.48252010345459,36.3
23.500434398651123,36.3
23.503499507904053,36.3
23.688600540161133,36.3
23.699580907821655,36.3
23.89327335357666,36.3
23.89945697784424,36.2
24.09666681289673,36.3
24.099665880203247,36.3
24.254362106323242,36.3
24.254362106323242,36.3
24.320083618164062,36.4
24.506502628326416,36.4
24.507871866226196,36.3
24.520683765411377,36.3
24.711238384246826,36.3
24.722675561904907,36.3
24.917128562927246,36.3
24.939533710479736,36.4
25.120891332626343,36.3
